iteration: 1, accuracy: 0.0502, timestamp: 2026-03-05 13:54:38
iteration: 2, accuracy: 0.0502, timestamp: 2026-03-05 13:54:56
iteration: 3, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 13:55:11
iteration: 4, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:55:27
iteration: 5, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:55:42
iteration: 6, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:55:58
iteration: 7, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:56:11
iteration: 8, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:56:34
iteration: 9, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:56:52
iteration: 10, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:57:14
iteration: 11, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:57:29
iteration: 12, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:57:42
iteration: 13, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:57:56
iteration: 14, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:58:11
iteration: 15, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:58:27
iteration: 16, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:58:42
iteration: 17, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:58:55
iteration: 18, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:59:08
iteration: 19, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:59:24
iteration: 20, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:59:36
iteration: 21, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 13:59:48
iteration: 22, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:00:08
iteration: 23, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:00:26
iteration: 24, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:00:44
iteration: 25, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:01:02
iteration: 26, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:01:20
iteration: 27, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 131072]' is invalid for input of size 4096, timestamp: 2026-03-05 14:01:38
iteration: 28, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:01:56
iteration: 29, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:02:12
iteration: 30, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:02:28
iteration: 31, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:02:44
iteration: 32, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:03:00
iteration: 33, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 32768, timestamp: 2026-03-05 14:03:13
iteration: 34, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 32768, timestamp: 2026-03-05 14:03:28
iteration: 35, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 32768, timestamp: 2026-03-05 14:03:44
iteration: 36, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 32768, timestamp: 2026-03-05 14:03:59
iteration: 37, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 32768, timestamp: 2026-03-05 14:04:13
iteration: 38, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:04:26
iteration: 39, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:04:42
iteration: 40, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:04:56
iteration: 41, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:05:10
iteration: 42, error: Code validation failed: Validation error: RuntimeError: shape '[-1, 65536]' is invalid for input of size 8192, timestamp: 2026-03-05 14:05:23
